City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,olonkinbyen,70.9221,-8.7187,3.53,98,100,1.9,SJ,1726629860
84,utrik,11.2278,169.8474,28.95,73,51,7.19,MH,1726629862
85,franceville,-1.6333,13.5836,22.01,92,37,1.28,GA,1726629864
86,muisne,0.6,-80.0333,24.19,84,100,3.42,EC,1726629865
87,lobamba,-26.4667,31.2,16.41,92,56,1.86,SZ,1726629866
88,porto novo,6.4965,2.6036,24.09,92,100,3.0,BJ,1726629867
89,pingdingshan,33.7385,113.3012,21.87,88,100,5.48,CN,1726629868
90,taltal,-25.4,-70.4833,16.07,63,0,0.47,CL,1726629869
91,irymple,-34.25,142.1667,25.61,12,0,4.92,AU,1726629871
92,port elizabeth,-33.918,25.5701,12.16,98,20,3.6,ZA,1726629667
93,mejit,10.2753,170.8646,28.73,73,12,5.85,MH,1726629873
94,longyearbyen,78.2186,15.6401,4.91,100,100,2.06,SJ,1726629874
95,talnakh,69.4865,88.3972,2.37,69,88,1.72,RU,1726629875
96,kailua-kona,19.6406,-155.9956,25.89,92,70,4.23,US,1726629876
97,nabire,-3.3667,135.4833,29.8,73,100,2.12,ID,1726629878
98,afaahiti,-17.75,-149.2833,24.34,86,100,4.28,PF,1726629879
99,dryden,49.7833,-92.7503,21.16,94,100,1.03,CA,1726629880
100,nadi,-17.8,177.4167,27.0,54,40,7.2,FJ,1726629881
101,flin flon,54.7682,-101.865,16.42,75,15,2.18,CA,1726629882
102,aykhal,66.0,111.5,-1.56,80,100,8.18,RU,1726629883
103,vadso,70.0744,29.7487,11.09,87,75,2.57,NO,1726629884
104,yellowknife,62.456,-114.3525,12.45,95,75,2.57,CA,1726629886
105,inarajan village,13.2736,144.7484,31.54,87,100,1.44,GU,1726629887
106,ar ruways,24.1103,52.7306,31.1,62,0,3.14,AE,1726629888
107,kibondo,-3.5864,30.7203,20.54,51,88,1.36,TZ,1726629889
108,minas de marcona,-15.2119,-75.1103,13.8,72,8,2.77,PE,1726629890
109,xiva,41.3783,60.3639,15.82,53,8,3.69,UZ,1726629616
110,yuzhno-kurilsk,44.0306,145.8556,21.37,56,0,5.73,RU,1726629893
111,vilyuchinsk,52.9306,158.4028,13.15,74,99,1.61,RU,1726629894
112,ati,13.2154,18.3353,27.57,68,83,3.24,TD,1726629895
113,matoury,4.8483,-52.3317,26.98,89,0,1.03,GF,1726629896
114,zheleznodorozhnyy,55.7503,38.0042,15.05,55,0,1.11,RU,1726629897
115,wotho,10.1657,166.0102,28.17,75,100,3.46,MH,1726629898
